map,карта
is,це
object,об'єкт
a,
an,
that,який
maps,відображає
keys,ключі
to,до
values,значення
cannot,не може
contain,містити
duplicate,повторення
key,ключ
each,кожен
can,може
at,
most,більшість
one,один
value,значення
it,це
models,моделює
the,
mathematical,математичне
function,функція
abstraction,абстракція
interface,інтерфейс
includes,включає
methods,методи
for,для
basic,базовий
operations,операції
such,такий
as,як
put,put
get,get
remove,remove
containskey,containsKey
containsvalue,containsValue
size,розмір
and,і
empty,пустий 
bulk,основна маса
operations,операції
putall,putAll
clear,clear
collection,колекція
views,перегляди
keyset,keySet
entryset,entrySet
